X,Y,FID,objectid,id,especial,estacion,nombre,temporal,f1,tipo,linea
-7860692.30057202,-3951940.82306546,45,45,45,EXISTENTE,EXISTENTE,PEDRO DE VALDIVIA,,1,ESTACION METRO,Linea 1
-7859341.30569115,-3950983.66270322,46,46,46,EXISTENTE,EXISTENTE,TOBALABA,,1,ESTACION METRO,Linea 1
-7862072.58728882,-3953072.12970751,47,47,47,EXISTENTE,EXISTENTE,SALVADOR,,1,ESTACION METRO,Linea 1
-7861314.26805635,-3952382.52182516,48,48,48,EXISTENTE,EXISTENTE,MANUEL MONTT,,1,ESTACION METRO,Linea 1
-7858007.33269841,-3950566.66386463,49,49,49,EXISTENTE,EXISTENTE,ALCANTARA,,1,ESTACION METRO,Linea 1
-7858662.92758736,-3950729.12274374,50,50,50,EXISTENTE,EXISTENTE,EL GOLF,,1,ESTACION METRO,Linea 1
-7857409.56274884,-3950409.86717627,51,51,51,EXISTENTE,EXISTENTE,ESCUELA MILITAR,,1,ESTACION METRO,Linea 1
-7858766.67090008,-3965397.7800332,52,52,52,EXISTENTE,EXISTENTE,VICENTE VALDES,,0,ESTACION METRO,Linea 5
-7858358.67398348,-3966608.61915088,53,53,53,EXISTENTE,EXISTENTE,ROJAS MAGALLANES,,0,ESTACION METRO,Linea 4
-7857784.69894657,-3968152.47046408,54,54,54,EXISTENTE,EXISTENTE,TRINIDAD,,0,ESTACION METRO,Linea 4
-7857424.39480365,-3970486.11106472,55,55,55,EXISTENTE,EXISTENTE,LOS QUILLAYES,,0,ESTACION METRO,Linea 4
-7857146.23314446,-3972023.18317255,56,56,56,EXISTENTE,EXISTENTE,SOTERO DEL RIO,,0,ESTACION METRO,Linea 4
-7857342.02723102,-3971068.67398918,57,57,57,EXISTENTE,EXISTENTE,ELISA CORREA,,0,ESTACION METRO,Linea 4
-7856797.79888001,-3974436.60328099,58,58,58,EXISTENTE,EXISTENTE,LAS MERCEDES,,0,ESTACION METRO,Linea 4
-7856958.89185822,-3973327.13089782,59,59,59,EXISTENTE,EXISTENTE,PROTECTORA DE LA INFANCIA,,0,ESTACION METRO,Linea 4
-7856467.53771208,-3976469.82468868,60,60,60,EXISTENTE,EXISTENTE,PLAZA PUENTE ALTO,,0,ESTACION METRO,Linea 4
-7857467.18029509,-3952748.4511542,61,61,61,EXISTENTE,EXISTENTE,BILBAO,,0,ESTACION METRO,Linea 4
-7858177.44360608,-3952056.44821994,62,62,62,EXISTENTE,EXISTENTE,COLON,,0,ESTACION METRO,Linea 4
-7856210.50794051,-3953600.2625012,63,63,63,EXISTENTE,EXISTENTE,PRINCIPE DE GALES,,0,ESTACION METRO,Linea 4
-7856007.34532926,-3954923.8591854,64,64,64,EXISTENTE,EXISTENTE,SIMON BOLIVAR,,0,ESTACION METRO,Linea 4
-7855906.53894111,-3955651.95993811,65,65,65,EXISTENTE,EXISTENTE,PLAZA EGAÑA,,0,ESTACION METRO,Linea 4
-7856061.7561024,-3956394.5911923,66,66,66,EXISTENTE,EXISTENTE,LOS ORIENTALES,,0,ESTACION METRO,Linea 4
