stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,wheelchair_boarding,location_type,parent_station
PG808,,PG808-Mateo de Toro y Z. / esq. El Topacio,-33.61428917390155,-70.70179894406763,,0,,
PG809,,PG809-Mateo de Toro y Z. / esq. Reina del Mar,-33.613505821827786,-70.7038089769122,,0,,
PG810,,PG810-Mateo de Toro y Z. / esq. Barros Arana,-33.61269244078072,-70.70590906654378,,0,,
PG916,,PG916-Barros Arana / esq. Eucaliptus,-33.60989432067609,-70.70457499829385,,0,,
PG917,,PG917-Barros Arana / esq. Eucaliptus,-33.6086940000832,-70.70394199973781,,0,,
PG207,,PG207-Eucaliptus / esq. Bulnes,-33.60753995536303,-70.70590300732384,,0,,
PG208,,PG208-Eucaliptus / esq. Freire,-33.606620111658714,-70.70829688853115,,0,,
PG209,,PG209-Freire / esq. Maestranza,-33.6042620002271,-70.70768700028543,,0,,
PG210,,PG210-Freire / esq. Nogales,-33.602078999757715,-70.70694600007144,,0,,
PG211,,PG211-Freire / esq. San Alfonso,-33.599302073668916,-70.7061296709723,,0,,
PG37,,PG37-Freire / esq. San José,-33.59674999965336,-70.70526300011875,,0,,
PG1599,,PG1599-Parada 2 / Plaza de San Bernardo,-33.59224860710772,-70.70368891412888,,0,,
PG40,,PG40-Freire / esq. 12 de Febrero,-33.58807136797971,-70.70086731018979,,0,,
PG41,,PG41-Parada 1 / Est.Freire,-33.58620399956911,-70.6992459996085,,0,,
PG43,,PG43-Parada 2 / Paradero 41 Gran Avenida,-33.58211199984501,-70.69623699946581,,0,,
PG44,,PG44-Parada / Paradero 4 Gran Avenida,-33.5796831570053,-70.69441693656064,,0,,
PG45,,PG45-Parada 2 / Paradero 39 Gran Avenida,-33.57684500019521,-70.69236500013533,,0,,
PG46,,PG46-Parada / Paradero 38 Gran Avenida,-33.57447400036711,-70.69062999963158,,0,,
PG47,,PG47-Parada / Paradero 37 Gran Avenida,-33.57179781616371,-70.68865148281823,,0,,
PG48,,PG48-Parada 2 / Paradero 36 1/2 Gran Avenida,-33.568685040983596,-70.68641901750358,,0,,
PG49,,PG49-Parada / Paradero 36 Gran Avenida,-33.56642099967052,-70.68456900023054,,0,,
PG50,,PG50-Parada / Paradero 35 Gran Avenida,-33.564228999848446,-70.68278700022299,,0,,
PG51,,PG51-Parada / Escuela de Aviación,-33.561628038940434,-70.68072786462596,,0,,
PG52,,PG52-Parada / Paradero 33 Gran Avenida,-33.559228000221346,-70.67884700004976,,0,,
PG53,,PG53-Gran Avenida / esq. Los Treboles,-33.557609999625136,-70.67757400022208,,0,,
PG54,,PG54-Parada / Paradero 32 Gran Avenida,-33.55572300025028,-70.67608199981339,,0,,
PG55,,PG55-Parada 2 / Paradero 31 Gran Avenida,-33.553769999756014,-70.67454299979852,,0,,
PG56,,PG56-Parada 2 / Paradero 30 Gran Avenida,-33.551345109750265,-70.67262391099709,,0,,
PG57,,PG57-Parada / Paradero 29 Gran Avenida,-33.54922499998189,-70.6709739997181,,0,,
PG58,,PG58-Parada 2 / Paradero 28 Gran Avenida,-33.54589700030827,-70.66833100053506,,0,,
PG59,,PG59-Parada 2 / Paradero 27 Gran Avenida,-33.543070999711574,-70.66608600030355,,0,,
PG1573,,PG1573-Parada 5 / (M) La Cisterna,-33.53922306541069,-70.66459714839527,,0,,
PG212,,PG212-Parada 4 / (M) La Cisterna,-33.53800800007712,-70.6632120002243,,0,,
PG213,,PG213-Av. Américo Vespucio / esq. San Carlos,-33.538814088052455,-70.65964441592673,,0,,
PG214,,PG214-Parada / Complejo Educ. Los Andes,-33.539573999548324,-70.65521600010895,,0,,
PG215,,PG215-Av. Américo Vespucio / esq. Cerro Negro,-33.540306999840794,-70.65114299948664,,0,,
PG216,,PG216-Av. Américo Vespucio / esq. Av. La Bandera,-33.54097754258063,-70.64672225521232,,0,,
PG217,,PG217-Parada 1 / (M) San Ramón,-33.54151199995952,-70.64315699964698,,0,,
PG218,,PG218-Av. Américo Vespucio / esq. P. Aguirre Cerda,-33.54225711433913,-70.63750134087485,,0,,
PG219,,PG219-Parada 6 / (M) Santa Rosa,-33.54263237293995,-70.6348099320287,,0,,
PE173,,PE173-Av. Américo Vespucio / esq. Tacora,-33.54320739129715,-70.62907357458526,,0,,
PE174,,PE174-Av. Américo Vespucio / esq. La Serena,-33.5425782197479,-70.62423992516474,,0,,
PE175,,PE175-Av. Américo Vespucio / esq. La Serena,-33.54221408145094,-70.6207998079872,,0,,
PE176,,PE176-Av. Américo Vespucio / esq. Mamiña,-33.541923114109984,-70.6182822740498,,0,,
PE177,,PE177-Parada 1 / (M) La Granja,-33.54146299998946,-70.61619499998851,,0,,
PE178,,PE178-Av. Américo Vespucio / esq. Isla Quinchao,-33.540226999710974,-70.61121800019524,,0,,
PE179,,PE179-Av. Américo Vespucio / esq. Dr. Sótero Del Rio,-33.53849699999986,-70.60982400008902,,0,,
PE180,,PE180-Av. Américo Vespucio / esq. Cancha Rayada,-33.53269100009373,-70.60617399990818,,0,,
PE181,,PE181-Parada / Colegio José A. Lecaros,-33.530604999779804,-70.60481199976066,,0,,
PE182,,PE182-Av. Américo Vespucio / esq. Gerónimo de Alderete,-33.52866500016983,-70.60355900006802,,0,,
PE183,,PE183-Av. Américo Vespucio / esq. Las Acacias,-33.524265999813835,-70.60010599974541,,0,,
PE193,,PE193-Parada 7 / (M) Bellavista de La Florida,-33.52362699993089,-70.59905000045333,,0,,
PE184,,PE184-Parada 4 / (M) Bellavista de La Florida,-33.52145199982658,-70.59704100003607,,0,,
PE185,,PE185-Parada / Fiscalía La Florida,-33.51709800018001,-70.59371100003598,,0,,
PE186,,PE186-Av. Américo Vespucio / esq. Av. Departamental,-33.51437557919069,-70.59134191942412,,0,,
PA720,,PA720-Lord Cochrane / esq. Alameda,-33.445572099819124,-70.65530555360205,,0,,
PA215,,PA215-Parada 5 / (M) La Moneda,-33.445136000091836,-70.65439099948284,,0,,
PA29,,PA29-Nataniel Cox / esq. Tarapacá,-33.447476001361615,-70.65365500483614,,0,,
PA196,,PA196-Nataniel Cox / esq. Eleuterio Ramírez,-33.44954553812472,-70.65333195330673,,0,,
PA197,,PA197-Parada 1 / (M) Pque. Almagro,-33.45199969778844,-70.65293330172732,,0,,
PA55,,PA55-Nataniel Cox / esq. Av. 10 de Julio,-33.454152842002635,-70.65263268743733,,0,,
PA627,,PA627-Nataniel Cox / esq. Copiapó,-33.45554099973011,-70.65238600033302,,0,,
PA56,,PA56-Nataniel Cox / esq. Aconcagua,-33.457753575980284,-70.65206127683757,,0,,
PA57,,PA57-Nataniel Cox / esq. Av. Manuel A. Matta,-33.45956939324083,-70.65179899769592,,0,,
PA58,,PA58-Parada / Colegio Santa Cruz,-33.463728172245936,-70.6511339669437,,0,,
PA694,,PA694-Nataniel Cox / esq. Pedro Lagos,-33.46589800015966,-70.65079900324979,,0,,
PA60,,PA60-Nataniel Cox / esq. Ñuble,-33.46970964717074,-70.650202685745,,0,,
PA61,,PA61-Nataniel Cox / esq. Franklin,-33.47316000344159,-70.64966183475619,,0,,
PA62,,PA62-Parada 1 / (M) Franklin,-33.47529082187331,-70.648415299664,,0,,
PH110,,PH110-Parada 1 / Paradero 3 Gran Avenida,-33.47933285553883,-70.64834895398624,,0,,
PH111,,PH111-Parada 1 / Hospital Barros Luco,-33.483511999937,-70.6495300002624,,0,,
PH112,,PH112-Parada 3 / Muni.San Miguel,-33.485470000326586,-70.65008100025365,,0,,
PH113,,PH113-Parada 1 / Paradero 8 Gran Avenida,-33.48944699963518,-70.65116900017871,,0,,
PH114,,PH114-Parada / Paradero 9 Gran Avenida,-33.49177899965368,-70.65176399957913,,0,,
PH115,,PH115-Parada / Paradero 9 1/2 Gran Avenida,-33.494890999867465,-70.65259500001629,,0,,
PH792,,PH792-Parada 3 / Paradero 10 Gran Avenida,-33.49790800034059,-70.65344300044329,,0,,
PH118,,PH118-Parada / Colegio Chile,-33.50140000622756,-70.65445133527899,,0,,
PH119,,PH119-Parada 3 / (M) Departamental,-33.50398499978142,-70.6552049996338,,0,,
PH121,,PH121-Parada / Paradero 14 Gran Avenida,-33.5083760000999,-70.65643899977707,,0,,
PH122,,PH122-Parada / Paradero 15 Gran Avenida,-33.51241360199905,-70.65758860761318,,0,,
PH123,,PH123-Parada 1 / Paradero 17 Gran Avenida,-33.514338805691956,-70.65809989354807,,0,,
PG1,,PG1-Parada / (M) Lo Ovalle,-33.51843220899494,-70.65927306467083,,0,,
PG2,,PG2-Parada 1 / Paradero 19 Gran Avenida,-33.52034632877076,-70.65981662511585,,0,,
PG3,,PG3-Parada 1 / Paradero 2 Gran Avenida,-33.523962918656814,-70.66083096045132,,0,,
PG4,,PG4-Parada 1 / (M) El Parrón,-33.52622399963417,-70.66149399981524,,0,,
PG5,,PG5-Parada 1 / Paradero 22 Gran Avenida,-33.52877420074801,-70.66215760351506,,0,,
