pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional
PZA-PZ-1,PZ-Intermedio-3,PZA-Intermedio-3,1,1
NUN-1,NUN-A,NUN-Boleteria-ZNP,2,1
NUN-2,NUN-Boleteria-ZNP,NUN-Boleteria-ZP,6,0
NUN-3,NUN-Boleteria-ZP,NUN-Boleteria-ZNP,7,0
NUN-4,NUN-Boleteria-ZP,NUN-Intermedio-2,2,1
NUN-5,NUN-Intermedio-2,NUN-L6-V1,2,1
NUN-6,NUN-Intermedio-2,NUN-L6-V2,2,1
NUN-7,NUN-Intermedio-2,NUN-Intermedio-4,2,1
NUN-8,NUN-Intermedio-4,NUN-L3-V1,2,1
NUN-9,NUN-Intermedio-4,NUN-L3-V2,2,1
VMA-1,VMA-A,VMA-Boleteria-ZNP,1,1
VMA-2,VMA-Boleteria-ZNP,VMA-Boleteria-ZP,6,0
VMA-3,VMA-Boleteria-ZP,VMA-Boleteria-ZNP,7,0
VMA-4,VMA-Boleteria-ZP,VMA-L4A-V1,2,1
VMA-5,VMA-Boleteria-ZP,VMA-L4A-V2,2,1
VMA-6,VMA-L4A-V1,VMA-L4-V1,2,1
VMA-7,VMA-L4A-V1,VMA-L4-V2,2,1
VMA-8,VMA-L4A-V2,VMA-L4-V1,2,1
VMA-9,VMA-L4A-V2,VMA-L4-V2,2,1
VVA-1,VVA-A,VVA-Boleteria-ZNP,2,1
VVA-2,VVA-B,VVA-Boleteria-ZNP,2,1
VVA-3,VVA-C,VVA-Boleteria-ZNP,2,1
VVA-4,VVA-D,VVA-Boleteria-ZNP,2,1
VVA-5,VVA-Boleteria-ZNP,VVA-Boleteria-ZP,6,0
VVA-6,VVA-Boleteria-ZP,VVA-Boleteria-ZNP,7,0
VVA-7,VVA-Boleteria-ZP,VVA-L4-V1,2,1
VVA-8,VVA-Boleteria-ZP,VVA-L4-V2,2,1
VVA-9,VVA-L4-V1,VVA-L5-V1,2,1
VVA-10,VVA-L4-V1,VVA-L5-V2,2,1
VVA-11,VVA-L4-V2,VVA-L5-V1,2,1
VVA-12,VVA-L4-V2,VVA-L5-V2,2,1
NUB-1,NUB-A,NUB-Boleteria-ZNP,1,1
NUB-2,NUB-Boleteria-ZNP,NUB-Boleteria-ZP,6,0
NUB-3,NUB-Boleteria-ZP,NUB-Boleteria-ZNP,7,0
NUB-4,NUB-Boleteria-ZP,NUB-L5-V1,2,1
NUB-5,NUB-Boleteria-ZP,NUB-L5-V2,2,1
NUB-6,NUB-Boleteria-ZP,NUB-Intermedio-1,2,1
NUB-7,NUB-Intermedio-1,NUB-Intermedio-2,2,1
NUB-8,NUB-Intermedio-2,Nub-Intermedio-3,2,1
NUB-9,Nub-Intermedio-3,NUB-L6-V1,2,1
NUB-10,Nub-Intermedio-3,NUB-L6-V2,2,1
CAR-1,CAR-A,CAR-ZNP,2,1
CAR-2,CAR-ZNP,CAR-ZP,6,0
CAR-3,CAR-ZP,CAR-ZNP,7,0
CAR-4,CAR-ZP,CAR-L3-V1,2,1
CAR-5,CAR-ZP,CAR-L3-V2,2,1
ESP-1,ESP-A,ESP-ZNP,2,1
ESP-2,ESP-ZNP,ESP-ZP,6,0
ESP-3,ESP-ZP,ESP-ZNP,7,0
ESP-4,ESP-ZP,ESP-L3-V1,2,1
ESP-5,ESP-ZP,ESP-L3-V2,2,1
CCH-1,CCH-A,CCH-ZNP,2,1
CCH-2,CCH-ZNP,CCH-ZP,6,0
CCH-3,CCH-ZP,CCH-ZNP,7,0
CCH-4,CCH-ZP,CCH-L3-V1,2,1
CCH-5,CCH-ZP,CCH-L3-V2,2,1
FCV-1,FCV-A,FCV-ZNP,2,1
FCV-2,FCV-ZNP,FCV-ZP,6,0
FCV-3,FCV-ZP,FCV-ZNP,7,0
FCV-4,FCV-ZP,FCV-L3-V1,2,1
FCV-5,FCV-ZP,FCV-L3-V2,2,1
CE-1,CE-A,CE-ZNP,2,1
CE-2,CE-ZNP,CE-ZP,6,0
CE-3,CE-ZP,CE-ZNP,7,0
CE-4,CE-ZP,CE-L2-V1,2,1
CE-5,CE-ZP,CE-L2-V2,2,1
CB-1,CB-A,CB-ZNP,2,1
CB-2,CB-B,CB-ZNP,2,1
CB-3,CB-ZNP,CB-ZP,6,0
CB-4,CB-ZP,CB-ZNP,7,0
CB-5,CB-ZP,CB-L2-V1,2,1
CB-6,CB-ZP,CB-L2-V2,2,1
CN-1,CN-A,CN-ZNP,2,1
CN-2,CN-B,CN-ZNP,2,1
CN-3,CN-ZNP,CN-ZP,6,0
CN-4,CN-ZP,CN-ZNP,7,0
CN-5,CN-ZP,CN-L2-V1,2,1
CN-6,CN-ZP,CN-L2-V2,2,1
BIO-1,BIO-A,BIO-ZNP,2,1
BIO-2,BIO-ZNP,BIO-ZP,6,0
BIO-3,BIO-ZP,BIO-ZNP,7,0
BIO-4,BIO-ZP,BIO-L6-V1,2,1
BIO-5,BIO-ZP,BIO-L6-V2,2,1
CER-1,CER-A,CER-ZNP,2,1
CER-2,CER-ZNP,CER-ZP,6,0
CER-3,CER-ZP,CER-ZNP,7,0
CER-4,CER-ZP,CER-L6-V1,2,1
CER-5,CER-ZP,CER-L6-V2,2,1
ESN-1,ESN-A,ESN-ZNP,2,1
ESN-2,ESN-B,ESN-ZNP,2,1
ESN-3,ESN-ZNP,ESN-ZP,6,0
ESN-4,ESN-ZP,ESN-ZNP,7,0
ESN-5,ESN-ZP,ESN-L6-V1,2,1
ESN-6,ESN-ZP,ESN-L6-V2,2,1
AL-1,AL-A,AL-ZNP,2,1
AL-2,AL-B,AL-ZNP,2,1
AL-3,AL-ZNP,AL-ZP,6,0
AL-4,AL-ZP,AL-ZNP,7,0
AL-5,AL-ZP,AL-L1-V1,2,1
AL-6,AL-ZP,AL-L1-V2,2,1
FER-1,FER-A,FER-ZNP,2,1
FER-2,FER-ZNP,FER-ZP,6,0
FER-3,FER-ZP,FER-ZNP,7,0
FER-4,FER-ZP,FER-L3-V1,2,1
FER-5,FER-ZP,FER-L3-V2,2,1
HOS-1,HOS-A,HOS-ZNP,2,1
HOS-2,HOS-ZNP,HOS-ZP,6,0
HOS-3,HOS-ZP,HOS-ZNP,7,0
HOS-4,HOS-ZP,HOS-L3-V1,2,1
HOS-5,HOS-ZP,HOS-L3-V2,2,1
CM-1,CM-A,CM-ZNP,2,1
CM-2,CM-ZNP,CM-ZP,6,0
CM-3,CM-ZP,CM-ZNP,7,0
CM-4,CM-ZP,CM-L2-V1,2,1
CM-5,CM-ZP,CM-L2-V2,2,1
LCR-1,LCR-A,LCR-ZNP,2,1
LCR-2,LCR-ZNP,LCR-ZP,6,0
LCR-3,LCR-ZP,LCR-ZNP,7,0
LCR-4,LCR-ZP,LCR-L3-V1,2,1
LCR-5,LCR-ZP,LCR-L3-V2,2,1
LIB-1,LIB-A,LIB-ZNP,2,1
LIB-2,LIB-ZNP,LIB-ZP,6,0
LIB-3,LIB-ZP,LIB-ZNP,7,0
LIB-4,LIB-ZP,LIB-L3-V1,2,1
LIB-5,LIB-ZP,LIB-L3-V2,2,1
DE-1,DE-A,DE-ZNP,2,1
DE-2,DE-B,DE-ZNP,2,1
DE-3,DE-ZNP,DE-ZP,6,0
DE-4,DE-ZP,DE-ZNP,7,0
DE-5,DE-ZP,DE-L2-V1,2,1
DE-6,DE-ZP,DE-L2-V2,2,1
ISU-1,ISU-A,ISU-ZNP,2,1
ISU-2,ISU-ZNP,ISU-ZP,6,0
ISU-3,ISU-ZP,ISU-ZNP,7,0
ISU-4,ISU-ZP,ISU-L6-V1,2,1
ISU-5,ISU-ZP,ISU-L6-V2,2,1
DO-1,DO-A,DO-ZNP,2,1
DO-2,DO-ZNP,DO-ZP,6,0
DO-3,DO-ZP,DO-ZNP,7,0
DO-4,DO-ZP,DO-L2-V1,2,1
DO-5,DO-ZP,DO-L2-V2,2,1
BR-1,BR-A,BR-ZNP,2,1
BR-2,BR-ZNP,BR-ZP,6,0
BR-3,BR-ZP,BR-ZNP,7,0
BR-4,BR-ZP,BR-L5-V1,2,1
BR-5,BR-ZP,BR-L5-V2,2,1
MAT-1,MAT-A,MAT-ZNP,2,1
MAT-2,MAT-ZNP,MAT-ZP,6,0
MAT-3,MAT-ZP,MAT-ZNP,7,0
MAT-4,MAT-ZP,MAT-L3-V1,2,1
MAT-5,MAT-ZP,MAT-L3-V2,2,1
MEY-1,MEY-A,MEY-ZNP,2,1
